"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","9606.ENSP00000219476 (pp) 9606.ENSP00000225577","false","pp","9606.ENSP00000219476 (pp) 9606.ENSP00000225577","0.055",,,"0.189",,,"0.952","0.943"
"pp","9606.ENSP00000219476 (pp) 9606.ENSP00000307272","false","pp","9606.ENSP00000219476 (pp) 9606.ENSP00000307272","0.253",,"0.5",,,,"0.966","0.918"
"pp","9606.ENSP00000225577 (pp) 9606.ENSP00000360266","false","pp","9606.ENSP00000225577 (pp) 9606.ENSP00000360266",,,"0.9",,,,"0.959","0.608"
"pp","9606.ENSP00000225577 (pp) 9606.ENSP00000296782","false","pp","9606.ENSP00000225577 (pp) 9606.ENSP00000296782","0.056",,,"0.81",,,"0.981","0.903"
"pp","9606.ENSP00000225577 (pp) 9606.ENSP00000425561","false","pp","9606.ENSP00000225577 (pp) 9606.ENSP00000425561","0.072",,,"0.292",,,"0.985","0.98"
"pp","9606.ENSP00000225577 (pp) 9606.ENSP00000405330","false","pp","9606.ENSP00000225577 (pp) 9606.ENSP00000405330","0.058",,"0.9","0.053",,,"0.955","0.558"
"pp","9606.ENSP00000225577 (pp) 9606.ENSP00000369757","false","pp","9606.ENSP00000225577 (pp) 9606.ENSP00000369757","0.049",,"0.9","0.76",,,"0.999","0.971"
"pp","9606.ENSP00000225577 (pp) 9606.ENSP00000340691","false","pp","9606.ENSP00000225577 (pp) 9606.ENSP00000340691",,,,,,,"0.972","0.972"
"pp","9606.ENSP00000225577 (pp) 9606.ENSP00000298552","false","pp","9606.ENSP00000225577 (pp) 9606.ENSP00000298552","0.076",,,"0.125",,,"0.906","0.893"
"pp","9606.ENSP00000225577 (pp) 9606.ENSP00000375711","false","pp","9606.ENSP00000225577 (pp) 9606.ENSP00000375711","0.091",,"0.9","0.075",,,"0.99","0.899"
"pp","9606.ENSP00000225577 (pp) 9606.ENSP00000307272","false","pp","9606.ENSP00000225577 (pp) 9606.ENSP00000307272","0.06",,"0.9","0.893",,,"0.999","0.999"
"pp","9606.ENSP00000225577 (pp) 9606.ENSP00000416255","false","pp","9606.ENSP00000225577 (pp) 9606.ENSP00000416255","0.062",,"0.75","0.07",,,"0.952","0.806"
"pp","9606.ENSP00000225577 (pp) 9606.ENSP00000361021","false","pp","9606.ENSP00000225577 (pp) 9606.ENSP00000361021","0.1",,,"0.086",,,"0.914","0.904"
"pp","9606.ENSP00000225577 (pp) 9606.ENSP00000354558","false","pp","9606.ENSP00000225577 (pp) 9606.ENSP00000354558","0.049",,"0.9","0.996",,,"0.999","0.978"
"pp","9606.ENSP00000225577 (pp) 9606.ENSP00000304895","false","pp","9606.ENSP00000225577 (pp) 9606.ENSP00000304895","0.043",,"0.9","0.537",,,"0.994","0.891"
"pp","9606.ENSP00000225577 (pp) 9606.ENSP00000263026","false","pp","9606.ENSP00000225577 (pp) 9606.ENSP00000263026","0.05",,"0.75","0.292",,,"0.961","0.797"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000401888","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000401888","0.073",,"0.9","0.095",,,"0.94","0.37"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000264657","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000264657","0.126",,,"0.599",,,"0.962","0.903"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000269305","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000269305","0.098",,,"0.045",,,"0.989","0.989"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000378974","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000378974","0.067",,"0.9","0.072",,,"0.987","0.87"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000405330","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000405330",,,,"0.51",,,"0.957","0.917"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000478887","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000478887","0.116",,,"0.292",,,"0.917","0.879"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000360266","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000360266","0.094",,,"0.292",,,"0.994","0.992"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000394560","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000394560","0.049",,"0.9","0.072",,,"0.943","0.437"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000495360","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000495360","0.061",,,"0.778",,,"0.964","0.845"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000498587","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000498587","0.084",,,"0.647",,,"0.932","0.809"
"pp","9606.ENSP00000227507 (pp) 9606.ENSP00000267163","false","pp","9606.ENSP00000227507 (pp) 9606.ENSP00000267163",,,"0.9","0.932",,,"0.998","0.831"
"pp","9606.ENSP00000227507 (pp) 9606.ENSP00000378699","false","pp","9606.ENSP00000227507 (pp) 9606.ENSP00000378699","0.138",,,"0.867",,,"0.998","0.984"
"pp","9606.ENSP00000227507 (pp) 9606.ENSP00000228872","false","pp","9606.ENSP00000227507 (pp) 9606.ENSP00000228872","0.098",,"0.9","0.992",,,"0.999","0.992"
"pp","9606.ENSP00000227507 (pp) 9606.ENSP00000498587","false","pp","9606.ENSP00000227507 (pp) 9606.ENSP00000498587","0.104",,"0.5",,,,"0.902","0.801"
"pp","9606.ENSP00000227507 (pp) 9606.ENSP00000495360","false","pp","9606.ENSP00000227507 (pp) 9606.ENSP00000495360","0.074",,"0.5","0.3",,,"0.972","0.926"
"pp","9606.ENSP00000227507 (pp) 9606.ENSP00000478887","false","pp","9606.ENSP00000227507 (pp) 9606.ENSP00000478887","0.067",,"0.4",,,,"0.969","0.951"
"pp","9606.ENSP00000227507 (pp) 9606.ENSP00000381185","false","pp","9606.ENSP00000227507 (pp) 9606.ENSP00000381185","0.052",,,,,,"0.958","0.958"
"pp","9606.ENSP00000227507 (pp) 9606.ENSP00000405330","false","pp","9606.ENSP00000227507 (pp) 9606.ENSP00000405330","0.07",,"0.75","0.625",,,"0.997","0.972"
"pp","9606.ENSP00000227507 (pp) 9606.ENSP00000384849","false","pp","9606.ENSP00000227507 (pp) 9606.ENSP00000384849","0.119",,"0.9","0.996",,,"0.999","0.996"
"pp","9606.ENSP00000227507 (pp) 9606.ENSP00000363822","false","pp","9606.ENSP00000227507 (pp) 9606.ENSP00000363822","0.073",,,"0.739",,,"0.955","0.831"
"pp","9606.ENSP00000227507 (pp) 9606.ENSP00000360266","false","pp","9606.ENSP00000227507 (pp) 9606.ENSP00000360266","0.042",,"0.5","0.292",,,"0.919","0.79"
"pp","9606.ENSP00000227507 (pp) 9606.ENSP00000269305","false","pp","9606.ENSP00000227507 (pp) 9606.ENSP00000269305",,,,"0.292",,,"0.946","0.928"
"pp","9606.ENSP00000227507 (pp) 9606.ENSP00000264657","false","pp","9606.ENSP00000227507 (pp) 9606.ENSP00000264657","0.054",,"0.5","0.645",,,"0.98","0.899"
